attribute,gpkg,spatialite,notes
METADATA_LAYER_NAME,fogsig,fogsig,Layer comparison between gpkg and spatialite
METADATA_TOTAL_FEATURES,46,46,Total features in each format
METADATA_TOTAL_COLUMNS,40,41,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_catfog,PRESENT,PRESENT,Column presence comparison
COLUMN_datend,PRESENT,PRESENT,Column presence comparison
COLUMN_datsta,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,PRESENT,Column presence comparison
COLUMN_geometry,MISSING,PRESENT,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_perend,PRESENT,PRESENT,Column presence comparison
COLUMN_persta,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sigfrq,PRESENT,PRESENT,Column presence comparison
COLUMN_siggen,PRESENT,PRESENT,Column presence comparison
COLUMN_siggrp,PRESENT,PRESENT,Column presence comparison
COLUMN_sigper,PRESENT,PRESENT,Column presence comparison
COLUMN_sigseq,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_status,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_valmxr,PRESENT,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,46/46 (100.0%),46/46 (100.0%),Property completeness comparison
PROP_COMPLETENESS_catfog,46/46 (100.0%),46/46 (100.0%),Property completeness comparison
PROP_COMPLETENESS_datend,0/46 (0.0%),0/46 (0.0%),Property completeness comparison
PROP_COMPLETENESS_datsta,0/46 (0.0%),0/46 (0.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_dsnm,46/46 (100.0%),46/46 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_edtn,46/46 (100.0%),46/46 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_updn,46/46 (100.0%),46/46 (100.0%),Property completeness comparison
PROP_COMPLETENESS_ffpt_rind,0/46 (0.0%),0/46 (0.0%),Property completeness comparison
PROP_COMPLETENESS_fidn,46/46 (100.0%),46/46 (100.0%),Property completeness comparison
PROP_COMPLETENESS_fids,46/46 (100.0%),46/46 (100.0%),Property completeness comparison
PROP_COMPLETENESS_geometry,N/A,46/46 (100.0%),Property completeness comparison - MISMATCH
PROP_COMPLETENESS_grup,46/46 (100.0%),46/46 (100.0%),Property completeness comparison
PROP_COMPLETENESS_inform,8/46 (17.4%),8/46 (17.4%),Property completeness comparison
PROP_COMPLETENESS_lnam,46/46 (100.0%),46/46 (100.0%),Property completeness comparison
PROP_COMPLETENESS_lnam_refs,0/46 (0.0%),0/46 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ninfom,0/46 (0.0%),0/46 (0.0%),Property completeness comparison
PROP_COMPLETENESS_nobjnm,0/46 (0.0%),0/46 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ntxtds,0/46 (0.0%),0/46 (0.0%),Property completeness comparison
PROP_COMPLETENESS_objl,46/46 (100.0%),46/46 (100.0%),Property completeness comparison
PROP_COMPLETENESS_objnam,0/46 (0.0%),0/46 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ogc_fid,46/46 (100.0%),46/46 (100.0%),Property completeness comparison
PROP_COMPLETENESS_perend,0/46 (0.0%),0/46 (0.0%),Property completeness comparison
PROP_COMPLETENESS_persta,0/46 (0.0%),0/46 (0.0%),Property completeness comparison
PROP_COMPLETENESS_prim,46/46 (100.0%),46/46 (100.0%),Property completeness comparison
