attribute,spatialite,postgis,notes
METADATA_LAYER_NAME,buaare,buaare,Layer comparison between spatialite and postgis
METADATA_TOTAL_FEATURES,246,246,Total features in each format
METADATA_GEOMETRY_FEATURES,246,246,Features with non-null geometry
METADATA_TOTAL_COLUMNS,36,35,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_catbua,PRESENT,PRESENT,Column presence comparison
COLUMN_condtn,PRESENT,PRESENT,Column presence comparison
COLUMN_conrad,PRESENT,PRESENT,Column presence comparison
COLUMN_convis,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,MISSING,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_height,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_veracc,PRESENT,PRESENT,Column presence comparison
COLUMN_verdat,PRESENT,PRESENT,Column presence comparison
COLUMN_wkb_geometry,MISSING,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,246/246 (100.0%),246/246 (100.0%),Values Match (100.0%)
